Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry;;
"Jeff Bezos,177,United States,e-commerce,1,57,""Seattle, Washington"",United States,In Relationship,4,""Bachelor of Arts/Science, Princeton University"",TRUE,POINT (-122.3300624 47.6038321)";;
"Elon Musk,151,United States,electric vehicles,2,49,""Austin, Texas"",United States,In Relationship,7,""Bachelor of Arts/Science, University of Pennsylvania"",TRUE,POINT (-97.74369950000001 30.2711286)";;
"Bernard Arnault & family,150,France,luxury goods,3,72,""Paris, France"",France,Married,5,""Bachelor of Arts/Science, Ecole Polytechnique de Paris"",FALSE,POINT (2.3514616 48.8566969)";;
"Bill Gates,124,United States,software,4,65,""Medina, Washington"",United States,Divorced,3,""Drop Out, Harvard University"",TRUE,POINT (-122.2264453 47.620548)";;
"Mark Zuckerberg,97,United States,social network,5,36,""Palo Alto, California"",United States,Married,2,""Drop Out, Harvard University"",TRUE,POINT (-122.1598465 37.4443293)";;
"Ann Walton Kroenke,8.4,United States,retail store,294,72,""Electra, Texas"",United States,Married,2,""Registered Nurse, Lincoln University"",FALSE,POINT (-98.9163686 34.0320855)";;
"Bubba Cathy,8.3,United States,fast food,297,67,""Atlanta, Georgia"",United States,Married,6,""Bachelor of Arts/Science, Samford University"",FALSE,POINT (-84.39026440000001 33.7489924)";;
"Dan Cathy,8.3,United States,fast food,297,68,""Atlanta, Georgia"",United States,Married,2,""Bachelor of Arts/Science, Georgia Southern University"",FALSE,POINT (-84.39026440000001 33.7489924)";;
"Jay Y. Lee,8.3,South Korea,consumer goods,297,52,""Seoul, South Korea"",South Korea,Divorced,2,""Master of Business Administration, Keio University";" Bachelor of Arts/Science, Seoul National University"",FALSE,POINT (126.9782914 37.5666791)";
"Pan Dong,8.3,Canada,consumer goods,297,56,""Hong Kong, Hong Kong"",Canada,Married,,""Master of Business Administration, Lawrence Technological University"; Bachelor of Science, Wuhan University;" Master, Wuhan University"",TRUE,POINT (114.1628131 22.2793278)"
"Hasso Plattner & family,8.3,Germany,software,297,77,""Heidelberg, Germany"",Germany,Married,2,""Master of Science, University of Karlsruhe"",TRUE,POINT (8.694724000000001 49.4093582)";;
"Nassef Sawiris,8.3,Egypt,""construction, investments"",297,60,""Cairo, Egypt"",Egypt,Married,4,""Bachelor of Arts/Science, University of Chicago"",FALSE,POINT (31.2357257 30.0443879)";;
"Kushal Pal Singh,8.3,India,real estate,297,89,""Delhi, India"",India,Widowed,3,""Bachelor of Arts/Science, Delhi University"",FALSE,POINT (77.2219388 28.6517178)";;
"Stanley Kroenke,8.2,United States,""sports, real estate"",304,73,""Electra, Texas"",United States,Married,2,""Master of Business Administration, Robert J. Trulaske, Sr. College of Business";" Bachelor of Arts/Science, University of Missouri"",TRUE,POINT (-98.9163686 34.0320855)";
"Niels Peter Louis-Hansen,8.2,Denmark,medical devices,304,73,""Humlebaek, Denmark"",Denmark,Married,1,,FALSE,POINT (12.5305462 55.9618789)";;
"Alain Merieux & family,8.2,France,pharmaceutical,304,83,""Lyon, France"",France,Married,3,,FALSE,POINT (4.8320114 45.7578137)";;
"Andreas von Bechtolsheim & family,8.2,Germany,online services,304,65,""Palo Alto, California"",Germany,Single,,""Master of Science, Carnegie Mellon University"",TRUE,POINT (-122.1598465 37.4443293)";;
"Diane Hendricks,8,United States,roofing,308,74,""Afton, Wisconsin"",United States,Widowed,7,""Diploma, High School"",TRUE,POINT (-89.0712225 42.6039009)";;
"Shahid Khan,8,United States,auto parts,308,70,""Naples, Florida"",United States,Married,2,""Bachelor of Arts/Science, University of Illinois, Urbana-Champaign"",TRUE,POINT (-81.7954666 26.1452817)";;
"Nicky Oppenheimer & family,8,South Africa,diamonds,308,75,""Johannesburg, South Africa"",South Africa,Married,1,""Bachelor of Arts/Science, Oxford U Christ Church";" Master of Arts, Oxford U Christ Church"",FALSE,POINT (28.049722 -26.205)";
"Anthony Bamford & family,7.9,United Kingdom,construction equipment,311,75,""Gloucestershire, United Kingdom"",United Kingdom,Married,3,""Bachelor of Arts/Science, Grenoble University"",FALSE,POINT (-2.1666674 51.8333313)";;
"Andrew Beal,7.9,United States,""banks, real estate"",311,68,""Dallas, Texas"",United States,Divorced,6,""Drop Out, Baylor University"",TRUE,POINT (-96.7968559 32.7762719)";;
"Dmitry Bukhman,7.9,Russia,online games,311,35,""London, United Kingdom"",Russia,Married,3,""Master of Science, Vologda State Pedagogical University"",TRUE,POINT (-0.1276474 51.5073219)";;
"Igor Bukhman,7.9,Russia,online games,311,39,""London, United Kingdom"",Russia,Married,3,""Master of Science, Vologda State Pedagogical University"",TRUE,POINT (-0.1276474 51.5073219)";;
"Takahisa Takahara,7.9,Japan,personal care goods,311,59,""Tokyo, Japan"",Japan,,,,FALSE,POINT (139.7594549 35.6828387)";;
"Kei Hoi Pang,7.8,China,real estate,316,55,""Hong Kong, Hong Kong"",China,,,,TRUE,POINT (114.1628131 22.2793278)";;
"Alexei Kuzmichev,7.8,Russia,""oil, banking, telecom"",316,58,""London, United Kingdom"",Russia,Married,3,""Bachelor of Arts/Science, Moscow Institute of Steel and Alloys"",TRUE,POINT (-0.1276474 51.5073219)";;
"John Malone,7.8,United States,cable television,316,80,""Elizabeth, Colorado"",United States,Married,2,""Doctorate, Johns Hopkins University"; Master of Science, Johns Hopkins University;" Bachelor of Arts/Science, Yale University"",TRUE,POINT (-104.59687 39.3602863)"
"Marijke Mars,7.8,United States,""candy, pet food"",316,56,""Los Angeles, California"",United States,Divorced,,""Bachelor of Arts/Science, Duke University"",FALSE,POINT (-118.242766 34.0536909)";;
"Pamela Mars,7.8,United States,""candy, pet food"",316,60,""Alexandria, Virginia"",United States,Married,3,""Bachelor of Arts/Science, Vassar College"",FALSE,POINT (-77.0470229 38.8051095)";;
"Valerie Mars,7.8,United States,""candy, pet food"",316,62,""New York, New York"",United States,Married,2,""Master of Business Administration, Columbia University";" Bachelor of Arts/Science, Yale University"",FALSE,POINT (-74.00601519999999 40.7127281)";
"Victoria Mars,7.8,United States,""candy, pet food"",316,64,""Philadelphia, Pennsylvania"",United States,Married,4,""Master of Business Administration, University of Pennsylvania, The Wharton School";" Bachelor of Arts/Science, Yale University"",FALSE,POINT (-75.16352620000001 39.9527237)";
"Giorgio Armani,7.7,Italy,luxury goods,323,86,""Milan, Italy"",Italy,Single,,""Drop Out, University of Piacenza"",TRUE,POINT (9.1905 45.4668)";;
"Frederik Paulsen,7.7,Sweden,health care,323,70,""Lausanne, Switzerland"",Sweden,Divorced,3,,FALSE,POINT (6.6327025 46.5218269)";;
"David Reuben,7.7,United Kingdom,""investments, real estate"",323,82,""London, United Kingdom"",United Kingdom,Married,1,,TRUE,POINT (-0.1276474 51.5073219)";;
"Simon Reuben,7.7,United Kingdom,""real estate, investments"",323,80,""Monaco, Monaco"",United Kingdom,Married,1,""Drop Out, Sir John Cass College, London"",TRUE,POINT (7.4276832 43.7323492)";;
"Alexander Abramov,7.6,Russia,""steel, mining"",327,62,""Moscow, Russia"",Russia,Married,3,""Bachelor of Arts/Science, Moscow Institute of Physics and Technology"",TRUE,POINT (37.6174943 55.7504461)";;
"Rinat Akhmetov,7.6,Ukraine,""steel, coal"",327,54,""Donetsk, Ukraine"",Ukraine,Married,2,""Bachelor of Arts/Science, Donetsk National University"",TRUE,POINT (37.8013407 48.0158753)";;
"Silvio Berlusconi & family,7.6,Italy,media,327,84,""Milan, Italy"",Italy,Divorced,5,""Doctor of Jurisprudence, University of Milan"",TRUE,POINT (9.1905 45.4668)";;
"John Grayken,7.6,Ireland,private equity,327,64,""London, United Kingdom"",Ireland,Married,4,""Master of Business Administration, Harvard Business School";" Bachelor of Arts/Science, University of Pennsylvania"",TRUE,POINT (-0.1276474 51.5073219)";
"David Green & family,7.6,United States,retail,327,79,""Oklahoma City, Oklahoma"",United States,Married,3,""Diploma, High School"",TRUE,POINT (-97.5170536 35.4729886)";;
"George Roberts,7.6,United States,private equity,327,77,""Atherton, California"",United States,""Widowed, Remarried"",3,""Bachelor of Arts/Science, Claremont McKenna College";" Doctor of Jurisprudence, UC Hastings"",TRUE,POINT (-122.2058272 37.453773)";
"Zhao Yan,7.6,China,biotech,327,54,""Beijing, China"",China,,,""Master of Business Administration, Fordham University"",TRUE,POINT (116.3912757 39.906217)";;
"Nancy Walton Laurie,7.5,United States,retail store,334,69,""Henderson, Nevada"",United States,Married,1,""Bachelor of Arts/Science, University of Memphis"",FALSE,POINT (-114.9826194 36.0301134)";;
"Pei Zhenhua,7.5,China,batteries,334,62,""Ningde, China"",China,,,,TRUE,POINT (119.5432715 26.6695006)";;
"Ruan Liping,7.5,Hong Kong,power strips,334,57,""Ningbo, China"",Hong Kong,,,,TRUE,POINT (121.6203873 29.8622194)";;
"Ruan Xueping,7.5,Hong Kong,power strip,334,49,""Ningbo, China"",Hong Kong,,,,TRUE,POINT (121.6203873 29.8622194)";;
"Patrick Soon-Shiong,7.5,United States,pharmaceutical,334,68,""Los Angeles, California"",United States,Married,2,""Master of Science, University of British Columbia"; Bachelor of Arts/Science, University of Witwatersrand;" Medical Doctor, University of Witwatersrand"",TRUE,POINT (-118.242766 34.0536909)"
"Antonia Ax:son Johnson & family,7.4,Sweden,diversified,339,77,""Stockholm, Sweden"",Sweden,Married,4,""Master of Arts, University of Stockholm"",FALSE,POINT (18.0710935 59.3251172)";;
"Ernest Garcia, III.,7.4,United States,used cars,339,39,""Phoenix, Arizona"",United States,,,""Bachelor of Science, Stanford University"",FALSE,POINT (-112.0741417 33.4484367)";;
"George Lucas,7.4,United States,Star Wars,339,76,""San Anselmo, California"",United States,Married,4,""Bachelor of Arts/Science, University of Southern California"",TRUE,POINT (-122.5615032 37.9744323)";;
"Vicky Safra,7.4,Greece,banking,339,68,""Crans-Montana, Switzerland"",Greece,Widowed,4,,FALSE,POINT (7.5264358 46.3304899)";;
"Zhang Jindong,7.4,China,appliance retailer,339,58,""Nanjing, China"",China,Married,2,""Bachelor of Arts/Science, Nanjing Normal University"",TRUE,POINT (118.7916458 32.0609736)";;
"Laurent Dassault,7.3,France,diversified,344,67,""Paris, France"",France,Married,2,""Associate in Arts/Science, Ecole Superieure Libre Des Sciences Commerciales Appliquees"",FALSE,POINT (2.3514616 48.8566969)";;
"Thierry Dassault,7.3,France,diversified,344,64,""Paris, France"",France,,,,FALSE,POINT (2.3514616 48.8566969)";;
"Marie-Hélène Habert,7.3,France,diversified,344,56,""Paris, France"",France,Married,,""Master, Sciences Po"",FALSE,POINT (2.3514616 48.8566969)";;
"Henry Kravis,7.3,United States,private equity,344,77,""New York, New York"",United States,Married,2,""Bachelor of Arts/Science, Claremont McKenna College";" Master of Business Administration, Columbia Business School"",TRUE,POINT (-74.00601519999999 40.7127281)";
"Lai Meisong,7.3,China,package delivery,344,50,""Shanghai, China"",China,,,,TRUE,POINT (121.4692071 31.2322758)";;
"Sandra Ortega Mera,7.3,Spain,fashion retail,344,52,""La Coruna, Spain"",Spain,Married,3,,FALSE,POINT (-8.3958768 43.3712091)";;
"Pham Nhat Vuong,7.3,Vietnam,diversified,344,52,""Hanoi, Vietnam"",Vietnam,Married,3,,TRUE,POINT (105.8544441 21.0294498)";;
"David Shaw,7.3,United States,hedge funds,344,70,""New York, New York"",United States,Married,3,""Doctorate, Stanford University";" Bachelor of Arts/Science, University of California, San Diego"",TRUE,POINT (-74.00601519999999 40.7127281)";
"Rocco Commisso,7.2,United States,telecom,352,71,""Saddle River, New Jersey"",United States,Married,2,""Bachelor of Arts/Science, Columbia University";" Master of Business Administration, Columbia University"",TRUE,POINT (-74.10208660000001 41.0317637)";
"Michael Kadoorie,7.2,Hong Kong,""hotels, energy"",352,79,""Hong Kong, Hong Kong"",Hong Kong,Married,3,,FALSE,POINT (114.1628131 22.2793278)";;
"Bernard Marcus,7.2,United States,retail store,352,91,""Atlanta, Georgia"",United States,Married,3,""Bachelor of Arts/Science, Rutgers University"",TRUE,POINT (-84.39026440000001 33.7489924)";;
"Manuel Villar,7.2,Philippines,real estate,352,71,""Manila, Philippines"",Philippines,Married,3,,TRUE,POINT (120.9809674 14.5907332)";;
"Christy Walton,7.2,United States,retail store,352,72,""Jackson, Wyoming"",United States,Widowed,1,,FALSE,POINT (-110.761815 43.479965)";;
"Wang Zhenhua,7.2,China,real estate,352,59,""Shanghai, China"",China,,,""Master of Business Administration, Macau University"",TRUE,POINT (121.4692071 31.2322758)";;
"Carl Bennet,7.1,Sweden,investments,358,69,""Gothenberg, Sweden"",Sweden,Married,1,""Master of Business Administration, University of Gothenburg"",TRUE,POINT (11.9670171 57.7072326)";;
"Rahel Blocher,7.1,Switzerland,chemicals,358,45,""Wilen bei Wollerau, Switzerland"",Switzerland,,,,FALSE,POINT (8.734379499999999 47.1976363)";;
"Johann Graf,7.1,Austria,gambling,358,74,""Vienna, Austria"",Austria,Divorced,3,,TRUE,POINT (16.3725042 48.2083537)";;
"Ralph Lauren,7.1,United States,apparel,358,81,""New York, New York"",United States,Married,3,""Drop Out, City University of New York City College";" Diploma, High School"",TRUE,POINT (-74.00601519999999 40.7127281)";
"Li Hua,7.1,China,financial services,358,43,""Shenzhen, China"",China,,,,TRUE,POINT (114.0543297 22.555454)";;
"Magdalena Martullo-Blocher,7.1,Switzerland,chemicals,358,52,""Feldmeilen, Switzerland"",Switzerland,Married,3,,FALSE,POINT (8.6207481 47.2791676)";;
"Stewart and Lynda Resnick,7.1,United States,""agriculture, water"",358,,""Beverly Hills, California"",United States,Married,5,,TRUE,POINT (-118.3963062 34.0696501)";;
"Johann Rupert & family,7.1,South Africa,luxury goods,358,70,""Cape Town, South Africa"",South Africa,Married,3,,FALSE,POINT (18.417396 -33.928992)";;
"Safra siblings,7.1,Brazil,banking,358,,""Sao Paulo, Brazil"",Brazil,,,,FALSE,POINT (-46.6333824 -23.5506507)";;
"Anthony Wood,7.1,United States,Roku,358,55,""Palo Alto, California"",United States,Married,3,""Bachelor of Science in Engineering, Texas A&M University"",TRUE,POINT (-122.1598465 37.4443293)";;
"Gang Ye,7.1,Singapore,gaming,358,40,""Singapore, Singapore"",Singapore,Married,2,""Bachelor of Science, Cornell University"",TRUE,POINT (103.8194992 1.357107)";;
"Igor Altushkin,7,Russia,metals,369,50,""Yekaterinburg, Russia"",Russia,Married,6,""Bachelor of Arts/Science, Ekaterinburg Institute of Economics"",TRUE,POINT (60.60825 56.839104)";;
"Bajaj brothers,7,India,diversified,369,,""Mumbai, India"",India,,,,FALSE,POINT (72.8773928 19.0759899)";;
"Juan Francisco Beckmann Vidal & family,7,Mexico,tequila,369,81,""Mexico City, Mexico"",Mexico,Married,,,FALSE,POINT (-99.1331785 19.4326296)";;
"Alexandre Behring,7,Brazil,investments,369,54,""Greenwich, Connecticut"",Brazil,Married,,""EMBA, Harvard University"",TRUE,POINT (-73.6284598 41.0264862)";;
"Vincent Bolloré & family,7,France,investments,369,69,""Paris, France"",France,Married,4,""LLB, Universite Paris X Nanterre"",FALSE,POINT (2.3514616 48.8566969)";;
"Gustaf Douglas,7,Sweden,investments,369,83,""Stockholm, Sweden"",Sweden,Married,2,""Master of Business Administration, Harvard University"",TRUE,POINT (18.0710935 59.3251172)";;
"Terry Gou,7,Taiwan,electronics,369,70,""Taipei, Taiwan"",Taiwan,Divorced,5,Taipei University of Marine Technology,TRUE,POINT (121.5636796 25.0375198)";;
"Paul Tudor Jones, II.,7,United States,hedge funds,369,66,""Palm Beach, Florida"",United States,Married,4,""Bachelor of Arts/Science, University of Virginia"",TRUE,POINT (-80.4494174 26.6279798)";;
"Richard Kinder,7,United States,pipelines,369,76,""Houston, Texas"",United States,Married,1,""Bachelor of Arts/Science, University of Missouri";" Doctor of Jurisprudence, University of Missouri"",TRUE,POINT (-95.3676974 29.7589382)";
"Ludwig Merckle,7,Germany,pharmaceutical,369,56,""Ulm, Germany"",Germany,Married,2,,FALSE,POINT (9.993433599999999 48.3974003)";;
"Stephen Ross,7,United States,real estate,369,80,""New York, New York"",United States,Married,4,""Master of Laws, New York University"; Bachelor of Arts/Science, University of Michigan;" Doctor of Jurisprudence, Wayne State University"",TRUE,POINT (-74.00601519999999 40.7127281)"
"Eli Broad,6.9,United States,investments,380,,,United States,,2,""Broad College of Business";" Bachelor of Arts/Science, Michigan State University"",TRUE,POINT (-100.4458825 39.7837304)";
"Jim Davis & family,6.9,United States,sports,380,77,""Newton, Massachusetts"",United States,Married,2,""Bachelor of Arts/Science, Middlebury College"",TRUE,POINT (-71.2092214 42.3370414)";;
"Guo Guangchang,6.9,China,conglomerate,380,54,""Shanghai, China"",China,Married,3,""Bachelor of Arts/Science, Fudan University";" Master of Business Administration, Fudan University"",TRUE,POINT (121.4692071 31.2322758)";
"Robert Kraft,6.9,United States,sports,380,79,""Brookline, Massachusetts"",United States,Widowed,4,""Bachelor of Arts/Science, Columbia University";" Master of Business Administration, Harvard Business School"",TRUE,POINT (-71.12116349999999 42.3317642)";
"Murali Divi & family,6.8,India,pharmaceutical,384,70,""Hyderabad, India"",India,Married,2,,TRUE,POINT (78.4740613 17.360589)";;
"Huang Chulong,6.8,Canada,real estate,384,62,""Shenzhen, China"",Canada,,,,TRUE,POINT (114.0543297 22.555454)";;
"Li Jianquan & family,6.8,Hong Kong,consumer products,384,64,""Shenzhen, China"",Hong Kong,Married,,,TRUE,POINT (114.0543297 22.555454)";;
"Shi Yonghong & family,6.8,China,restaurants,384,52,""Chengdu, China"",China,Married,,,TRUE,POINT (104.0633717 30.6598628)";;
"Wee Cho Yaw,6.8,Singapore,banking,384,92,""Singapore, Singapore"",Singapore,Married,5,,FALSE,POINT (103.8194992 1.357107)";;
"Erich Wesjohann & family,6.8,Germany,poultry genetics,384,75,""Visbek, Germany"",Germany,Married,3,,TRUE,POINT (8.314849600000001 52.8337724)";;
"Aloys Wobben,6.8,Germany,wind turbines,384,69,""Aurich, Germany"",Germany,Married,1,""Bachelor of Arts/Science, U of Oldenburg"",TRUE,POINT (7.4823808 53.4695604)";;
"Micky Arison,6.7,United States,cruise,391,71,""Bal Harbour, Florida"",United States,Married,2,""Drop Out, University of Miami"",FALSE,POINT (153.4228711 -28.0259028)";;
"Jean-Michel Besnier,6.7,France,cheese,391,53,""Laval, France"",France,,,,FALSE,POINT (-0.7723499 48.0710377)";;
"Marie Besnier Beauvalot,6.7,France,cheese,391,40,""Laval, France"",France,Married,,,FALSE,POINT (-0.7723499 48.0710377)";;
"Kwon Hyuk-bin,6.7,South Korea,online games,391,47,""Seoul, South Korea"",South Korea,Married,2,""Bachelor of Arts/Science, Sogang University"",TRUE,POINT (126.9782914 37.5666791)";;
"Li Haiyan,6.7,China,restaurants,391,,""Chengdu, China"",China,Married,,,TRUE,POINT (104.0633717 30.6598628)";;
"Fredrik Lundberg,6.7,Sweden,""real estate, investments"",391,69,""Stockholm, Sweden"",Sweden,Married,2,""Bachelor of Arts/Science, Stockholm School of Economics"",FALSE,POINT (18.0710935 59.3251172)";;
"Hiroshi Mikitani,6.7,Japan,online retail,391,56,""Tokyo, Japan"",Japan,Married,2,""Master of Business Administration, Harvard University"",TRUE,POINT (139.7594549 35.6828387)";;
"Dmitry Rybolovlev,6.7,Russia,fertilizer,391,54,""Monaco, Monaco"",Russia,Divorced,2,""Medical Doctor, Perm Medical Institute"",TRUE,POINT (7.4276832 43.7323492)";;
"Reinhold Schmieding,6.7,United States,medical devices,391,66,""Naples, Florida"",United States,Married,2,""Bachelor of Arts/Science, Michigan State University"",TRUE,POINT (-81.7954666 26.1452817)";;
"Francis Choi,6.6,Hong Kong,real estate,400,73,""Hong Kong, Hong Kong"",Hong Kong,Married,3,,TRUE,POINT (114.1628131 22.2793278)";;
"Bruce Kovner,6.6,United States,hedge funds,400,76,""New York, New York"",United States,Married,3,""Bachelor of Arts/Science, Harvard University"",TRUE,POINT (-74.00601519999999 40.7127281)";;
"Wang Wenjing,6.6,China,business software,400,56,""Beijing, China"",China,Married,1,""Bachelor of Arts/Science, Jiangxi University of Finance & Economics"",TRUE,POINT (116.3912757 39.906217)";;
"Zeng Fangqin,6.6,China,smartphone components,400,55,""Shenzhen, China"",China,,,,TRUE,POINT (114.0543297 22.555454)";;
"Brian Armstrong,6.5,United States,cryptocurrency,404,38,""San Francisco, California"",United States,,,""Bachelor of Arts/Economics, Rice University";" Master of Arts/Science, Rice University"",TRUE,POINT (-122.419906 37.7790262)";
"Chu Mang Yee & family,6.5,China,real estate,404,61,""Guangzhou, China"",China,Married,1,,TRUE,POINT (113.2592945 23.1301964)";;
"Denise Coates,6.5,United Kingdom,online gambling,404,53,""Stoke-on-Trent, United Kingdom"",United Kingdom,Married,5,,TRUE,POINT (-2.1812607 53.0162014)";;
"Gopikishan Damani,6.5,India,""retail, investments"",404,63,""Mumbai, India"",India,Married,2,,TRUE,POINT (72.8773928 19.0759899)";;
"James Goodnight,6.5,United States,software,404,78,""Cary, North Carolina"",United States,Married,3,""Bachelor of Arts/Science, North Carolina State University"; Doctorate, North Carolina State University;" Master of Science, North Carolina State University"",TRUE,POINT (-78.7812081 35.7882893)"
"Antti Herlin,6.5,Finland,""elevators, escalators"",404,64,""Kirkkonummi, Finland"",Finland,Married,4,,FALSE,POINT (24.4406694 60.1227857)";;
"Liu Yongxing,6.5,China,diversified,404,72,""Shanghai, China"",China,Married,1,,TRUE,POINT (121.4692071 31.2322758)";;
"Sri Prakash Lohia,6.5,Indonesia,petrochemicals,404,68,""London, United Kingdom"",Indonesia,Married,2,""Bachelor of Arts/Science, Delhi University"",FALSE,POINT (-0.1276474 51.5073219)";;
"John Overdeck,6.5,United States,hedge funds,404,51,""Millburn, New Jersey"",United States,Married,3,""Bachelor of Arts/Science, Stanford University";" Master of Science, Stanford University"",TRUE,POINT (-74.3069069 40.7244443)";
"Prajogo Pangestu,6.5,Indonesia,petrochemicals,404,76,""Jakarta, Indonesia"",Indonesia,Married,3,,FALSE,POINT (106.827183 -6.1753942)";;
"Horst Julius Pudwill,6.5,Germany,manufacturing,404,76,""Hong Kong, Hong Kong"",Germany,Married,1,""Master of Science in Engineering, Technical College in Flensburg"",TRUE,POINT (114.1628131 22.2793278)";;
"David Siegel,6.5,United States,hedge funds,404,86,""Windermere, Florida"",United States,Married,13,""Drop Out, University of Miami"",TRUE,POINT (-81.5345547 28.4944695)";;
"Ronda Stryker,6.5,United States,medical equipment,404,67,""Portage, Michigan"",United States,Married,3,""Bachelor of Arts/Science, University of Northern Colorado";" Master of Arts, Western Michigan University"",FALSE,POINT (-85.5800022 42.2011538)";
"Georg Stumpf,6.5,Austria,""real estate, construction"",404,48,""Vienna, Austria"",Austria,In Relationship,,,TRUE,POINT (16.3725042 48.2083537)";;
"Pauline MacMillan Keinath,6.4,United States,food,418,87,""St. Louis, Missouri"",United States,Married,4,,FALSE,POINT (-90.1998378 38.6264178)";;
"Wang Yusuo & family,6.4,China,natural gas distribution,418,57,""Langfang, China"",China,Married,,""Bachelor of Arts/Science, People's University of China";" Doctorate, Tianjin University"",TRUE,POINT (116.6997446 39.5128345)";
"Dennis Washington,6.4,United States,""construction, mining"",418,86,""Missoula, Montana"",United States,Married,2,""Diploma, High School"",TRUE,POINT (-113.995267 46.8701049)";;
"Rahul Bajaj,6.3,India,diversified,421,82,""Pune, India"",India,Widowed,3,""Master of Business Administration, Harvard University"",FALSE,POINT (73.8544541 18.521428)";;
"Ashwin Dani & family,6.3,India,paints,421,78,""Mumbai, India"",India,Married,3,""Bachelor of Arts/Science, Bombay University";" Master of Science, University of Akron"",FALSE,POINT (72.8773928 19.0759899)";
"Andreas Halvorsen,6.3,Norway,hedge funds,421,60,""Darien, Connecticut"",Norway,Married,3,""Master of Business Administration, Stanford Graduate School of Business";" Bachelor of Arts/Science, Williams College"",TRUE,POINT (-73.4692873 41.0787079)";
"Andrei Kozitsyn,6.3,Russia,metals,421,60,""Verkhniaya Pyshma, Russia"",Russia,Married,1,""Bachelor of Science in Engineering, Ural Polytechnic Institute"",TRUE,POINT (60.58219 56.97047)";;
"Axel Oberwelland,6.3,Germany,candy,421,54,""Berlin, Germany"",Germany,Married,,,FALSE,POINT (13.3888599 52.5170365)";;
"Shi Yuzhu,6.3,China,""online games, investments"",421,58,""Shanghai, China"",China,Divorced,1,""Master of Science, Shenzhen University";" Bachelor of Arts/Science, Zhejiang University"",TRUE,POINT (121.4692071 31.2322758)";
"Tsai Eng-meng,6.3,Taiwan,""food, beverages"",421,64,""Shanghai, China"",Taiwan,Married,2,,FALSE,POINT (121.4692071 31.2322758)";;
"Murat Ulker,6.3,Turkey,food,421,62,""Istanbul, Turkey"",Turkey,Married,3,""Bachelor of Arts/Science, Bogazici University"",FALSE,POINT (28.9651646 41.0096334)";;
"Wang Junlin,6.3,China,liquor,421,58,""Chengdu, China"",China,Married,,,TRUE,POINT (104.0633717 30.6598628)";;
"Wang Ning & family,6.3,China,toys,421,34,""Beijing, China"",China,Married,,,TRUE,POINT (116.3912757 39.906217)";;
"You Xiaoping,6.3,China,""chemicals, spandex"",421,63,""Wenzhou, China"",China,Married,2,,TRUE,POINT (120.695345 27.9963899)";;
"Arthur Blank,6.2,United States,home furnishings,432,78,""Atlanta, Georgia"",United States,Divorced,6,""Bachelor of Arts/Science, Babson College"",TRUE,POINT (-84.39026440000001 33.7489924)";;
"James Chambers,6.2,United States,""media, automotive"",432,64,""Palisades, New York"",United States,Married,,""Bachelor of Arts/Science, Bard College"",FALSE,POINT (-73.91116359999999 41.0200545)";;
"Jiang Bin,6.2,China,acoustic components,432,54,""Weifang, China"",China,Married,1,""Bachelor of Arts/Science, Beijing University of Aeronautics and Astronautics";" Master of Business Administration, Tsinghua University"",TRUE,POINT (119.1557441 36.7071591)";
"Jason Jiang,6.2,China,advertising,432,48,""Shanghai, China"",China,Married,,""Bachelor of Arts/Science, Huadong Normal University";" Bachelor of Arts/Science, Huadong Normal University"",TRUE,POINT (121.4692071 31.2322758)";
"Mitchell Rales,6.2,United States,""manufacturing, investments"",432,64,""Potomac, Maryland"",United States,Married,2,""Bachelor of Arts/Science, Miami University of Ohio"",TRUE,POINT (-78.83891 39.5675895)";;
"Katharine Rayner,6.2,United States,""media, automotive"",432,76,""East Hampton, New York"",United States,Widowed,,,FALSE,POINT (-72.1935105 40.9650535)";;
"Margaretta Taylor,6.2,United States,""media, automotive"",432,79,""Southampton, New York"",United States,,,,FALSE,POINT (-72.3895296 40.884267)";;
"Stef Wertheimer & family,6.2,Israel,metalworking tools,432,94,""tel aviv, Israel"",Israel,Married,4,,TRUE,POINT (34.7818064 32.0852997)";;
"Mike Adenuga,6.1,Nigeria,""telecom, oil"",440,68,""Lagos, Nigeria"",Nigeria,Married,7,""Master of Business Administration, Pace University"",TRUE,POINT (3.3941795 6.4550575)";;
"Charles Dolan & family,6.1,United States,cable television,440,94,""Oyster Bay, New York"",United States,Married,6,""Drop Out, John Carroll University"",TRUE,POINT (-73.4934796 40.7501803)";;
"Marcos Galperin,6.1,Argentina,e-commerce,440,,""Buenos Aires, Argentina"",Argentina,,,""Master of Business Administration, Stanford Graduate School of Business";" Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"",TRUE,POINT (-58.4370894 -34.6075682)";
"Huang Li,6.1,China,imaging systems,440,57,""Wuhan, China"",China,Married,,""Master of Science, Huazhong University of Science and Technology"",TRUE,POINT (114.2999353 30.5951051)";;
"Law Kar Po,6.1,Hong Kong,real estate,440,72,""Hong Kong, Hong Kong"",Hong Kong,Married,3,,FALSE,POINT (114.1628131 22.2793278)";;
"Li Wa,6.1,Hong Kong,real estate,440,55,""Shenzhen, China"",Hong Kong,,,""Bachelor of Arts/Science, South China University of Technology"",TRUE,POINT (114.0543297 22.555454)";;
